"Name","Description","Link","Thumb","Tags","Featured","Authors"
"Inside Einstein's Head","an explorable explanation of relativistic spacetime","https://www.lucify.com/inside-einsteins-head/","einstein.png","physics","",""
"Complexity Explorables","explorations of complex systems","http://rocs.hu-berlin.de/explorables/","complexity.png","biology, physics, math","yes",""
"Joy.js","a tool for making happy little programs","http://ncase.me/joy/","joy.png","tools","","Nicky Case"
"Using Artiﬁcial Intelligence to Augment Human Intelligence","","https://distill.pub/2017/aia/","aia.png","art, programming","","Michael Nielsen, Shan Carter"
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
"","","","","","",""
